"Geographic Location","Primary Institution","Expedition","Site","Latitude (Deg/Min/Sec)","Longitude (Deg/Min/Sec)","Latitude (Decimal Degrees)","Longitude (Decimal Degrees)","Water Depth (m)","Hydrate Depth (mbsf)","Description","Reference"
"Pacific - Cascadia Margin - Barkley Canyon","U. Victoria/CSSF-ROPOS",,"Barkley Canyon","48° 40' 4.2\"" N","126° 04' 00\"" W","48,67","-126,07",857,"Surface","Solid hydrate mass","Chapman, R., Pohlman, J., Coffin, R., and others, 2004, Thermogenic gas hydrate in the Northern Cascadia Margin, EOS, 85(38), p.361-363.

Pohlman, J.W., Bauer, J.E., Canuel, E.A, and others, 2009, Methane sources in gas hydrate-bearing cold seeps: Evidence from radiocarbon and stable isotopes, Marine Chemistry, 115, p. 102-109."
"Pacific - Middle America Trench - Mexico","DSDP","Leg 66","490A","16° 09' 36\"" N","99° 03' 25.2\"" W","16,16","-99,06",1761,"140, 146, 167, 364","Cement and inclusions","Booth, J.S., Rowe, M.M., and Fischer, K.M., 1996, Offshore gas hydrate sample database with an overview and preliminary analysis: U.S. Geological Survey Open-File Report 96-272, 1 plate, 31 p. URL: pubs.usgs.gov/of/1996/of96-272/

Shipley, T.H., and Didyk, B.M., 1982, Occurrence of methane hydrates offshore southern Mexico, in Watkins, J.S., Moore, J.C., and others, Initial Reports of the Deep Sea Drilling Project: U.S. Government Printing Office, Washington, D.C., v. 66, p. 547-555."
"Pacific - Middle America Trench - Mexico","DSDP","Leg 66","491A","16° 01' 40.8\"" N","98° 58' 19.2\"" W","16,03","-98,97",2883,"89, 163, 168","Cement and inclusions","Booth, J.S., Rowe, M.M., and Fischer, K.M., 1996, Offshore gas hydrate sample database with an overview and preliminary analysis: U.S. Geological Survey Open-File Report 96-272, 1 plate, 31 p. URL: pubs.usgs.gov/of/1996/of96-272/

Shipley, T.H., and Didyk, B.M., 1982, Occurrence of methane hydrates offshore southern Mexico, in Watkins, J.S., Moore, J.C., and others, Initial Reports of the Deep Sea Drilling Project: U.S. Government Printing Office, Washington, D.C., v. 66, p. 547-555."
"Pacific - Middle America Trench - Mexico","DSDP","Leg 66",492,"16° 04' 40.8\"" N","98° 56' 42\"" W","16,08","-98,95",1935,"141, 170","Cement","Booth, J.S., Rowe, M.M., and Fischer, K.M., 1996, Offshore gas hydrate sample database with an overview and preliminary analysis: U.S. Geological Survey Open-File Report 96-272, 1 plate, 31 p. URL: pubs.usgs.gov/of/1996/of96-272/

Shipley, T.H., and Didyk, B.M., 1982, Occurrence of methane hydrates offshore southern Mexico, in Watkins, J.S., Moore, J.C., and others, Initial Reports of the Deep Sea Drilling Project: U.S. Government Printing Office, Washington, D.C., v. 66, p. 547-555."
"Pacific - Middle America Trench - Guatemala","DSDP","Leg 67",497,"12° 59' 13.2\"" N","90° 49' 40.8\"" W","12,99","-90,83",2347,368,"Inclusions","Booth, J.S., Rowe, M.M., and Fischer, K.M., 1996, Offshore gas hydrate sample database with an overview and preliminary analysis: U.S. Geological Survey Open-File Report 96-272, 1 plate, 31 p. URL: pubs.usgs.gov/of/1996/of96-272/

Harrison, W.E., and Curiale, J.A., 1982, Gas hydrates in sediments of holes 497 and 498A, in Aubouin, J., von Huene, R., and others, Initial Reports of the Deep Sea Drilling Project: U.S. Government Printing Office, Washington, D.C., v. 67, p. 591-594."
"Pacific - Middle America Trench - Guatemala","DSDP","Leg 67",498,"12° 42' 43.2\"" N","90° 54' 54\"" W","12,71","-90,92",5478,307,"Cement","Booth, J.S., Rowe, M.M., and Fischer, K.M., 1996, Offshore gas hydrate sample database with an overview and preliminary analysis: U.S. Geological Survey Open-File Report 96-272, 1 plate, 31 p. URL: pubs.usgs.gov/of/1996/of96-272/

Harrison, W.E., and Curiale, J.A., 1982, Gas hydrates in sediments of holes 497 and 498A, in Aubouin, J., von Huene, R., and others, Initial Reports of the Deep Sea Drilling Project: U.S. Government Printing Office, Washington, D.C., v. 67, p. 591-594."
"Atlantic - Blake Ridge","DSDP","Leg 76",533,"31° 15' 36\"" N","74° 52' 12\"" W","31,26","-74,87",3191,238,"Matlike white crystals","Booth, J.S., Rowe, M.M., and Fischer, K.M., 1996, Offshore gas hydrate sample database with an overview and preliminary analysis: U.S. Geological Survey Open-File Report 96-272, 1 plate, 31 p. URL: pubs.usgs.gov/of/1996/of96-272/"
"Pacific - Middle America Trench - Costa Rica","DSDP","Leg 84",565,"9° 43' 42\"" N","86° 05' 24\"" W","9,73","-86,09",3099,"285, 319","Inclusions","Booth, J.S., Rowe, M.M., and Fischer, K.M., 1996, Offshore gas hydrate sample database with an overview and preliminary analysis: U.S. Geological Survey Open-File Report 96-272, 1 plate, 31 p. URL: pubs.usgs.gov/of/1996/of96-272/

Kvenvolden, K.A., and MacDonald, T.J., 1985, Gas hydrates of the Middle America Trench-Deep Sea Drilling Project Leg 84, in von Huene, R., Aubouin, J., and others, Initial Reports of the Deep Sea Drilling Project: U.S. Government Printing Office, Washington, D.C., v. 84, p. 667-682."
"Pacific - Middle America Trench - Guatemala","DSDP","Leg 84",568,"13° 04' 18\"" N","90° 48' 00\"" W","13,07","-90,8",2010,404,"Inclusions in fractures","Kvenvolden, K.A., and MacDonald, T.J., 1985, Gas hydrates of the Middle America Trench-Deep Sea Drilling Project Leg 84, in von Huene, R., Aubouin, J., and others, Initial Reports of the Deep Sea Drilling Project: U.S. Government Printing Office, Washington, D.C., v. 84, p. 667-682.

Shipboard Scientific Party (Leg 84), 1985, Site 568, in von Huene, R., Aubouin, J., and others, Initial Reports of the Deep Sea Drilling Project: U.S. Government Printing Office, Washington, D.C., v. 67, p. 167-232."
"Pacific - Middle America Trench - Guatemala","DSDP","Leg 84",570,"13° 07' 06\"" N","91° 23' 26\"" W","13,29","-91,39",1698,"192, 193, 246, 249, 259-268, 273-338","Cement, also massive solid hydrate, and fracture filling hydrate","Booth, J.S., Rowe, M.M., and Fischer, K.M., 1996, Offshore gas hydrate sample database with an overview and preliminary analysis: U.S. Geological Survey Open-File Report 96-272, 1 plate, 31 p. URL: pubs.usgs.gov/of/1996/of96-272/

Kvenvolden, K.A., and MacDonald, T.J., 1985, Gas hydrates of the Middle America Trench-Deep Sea Drilling Project Leg 84, in von Huene, R., Aubouin, J., and others, Initial Reports of the Deep Sea Drilling Project: U.S. Government Printing Office, Washington, D.C., v. 84, p. 667-682."
"Gulf of Mexico - Orca Basin","DSDP","Leg 96","618, 618A","27° 00' 40.8\"" N","91° 15' 43.8\"" W","27,01","-91,26",2412,"Hole 618: 26: Hole 618A: 19-37","Inclusions, white crystals a few millimeters in diameter","Booth, J.S., Rowe, M.M., and Fischer, K.M., 1996, Offshore gas hydrate sample database with an overview and preliminary analysis: U.S. Geological Survey Open-File Report 96-272, 1 plate, 31 p. URL: pubs.usgs.gov/of/1996/of96-272/

Shipboard Scientific Party (Leg 96), 1986, Site 618, in Bouma, A.H., Coleman, J.M., Meyer, A.W., and others, Initial Reports of the Deep Sea Drilling Project: U.S. Government Printing Office, Washington, D.C., v. 96, p. 399-421."
"Pacific - Peru/Chile Trench - Peru","ODP","Leg 112",685,"9° 06' 46.8\"" N","80° 35' 0.6\"" W","9,11","-80,58",5071,"99, 164","Dark grey pieces","Booth, J.S., Rowe, M.M., and Fischer, K.M., 1996, Offshore gas hydrate sample database with an overview and preliminary analysis: U.S. Geological Survey Open-File Report 96-272, 1 plate, 31 p. URL: pubs.usgs.gov/of/1996/of96-272/

Shipboard Scientific Party (Leg 112), 1988, Site 685, in Suess, E., von Huene, R., and others, Proceedings of the Ocean Drilling Program: Initial Reports, 112, College Station, TX, (Ocean Drilling Program), p. 597-704."
"Pacific - Peru/Chile Trench - Peru","ODP","Leg 112","688A","11° 32' 15.6\"" N","78° 56' 34.2\"" W","11,54","-78,94",3820,141,"Veins","Booth, J.S., Rowe, M.M., and Fischer, K.M., 1996, Offshore gas hydrate sample database with an overview and preliminary analysis: U.S. Geological Survey Open-File Report 96-272, 1 plate, 31 p. URL: pubs.usgs.gov/of/1996/of96-272/

Shipboard Scientific Party (Leg 112), 1988, Site 688, in Suess, E., von Huene, R., and others, Proceedings of the Ocean Drilling Program: Initial Reports, 112, College Station, TX, (Ocean Drilling Program), p. 873-1004."
"Japan Sea - Japan","ODP","Leg 127","796A","42° 53' 38.4\"" N","139° 24' 39.6\"" E","42,89","139,41",2571,90,"Hydrate mixed with sand, also pure hydrate","Shipboard Scientific Party (Leg 127), 1990, Site 796, in Tamaki, K., Pisciotto, K., Allan, J., and others, Proceedings of the Ocean Drilling Program: Initial Reports, 127, College Station, TX, (Ocean Drilling Program), p. 247-322."
"Japan Sea - Japan","ODP","Leg 127","796B","42° 50' 56.4\"" N","139° 24' 50.4\"" E","42,85","139,41",2623,90,"Hydrate mixed with sand, also pure hydrate","Shipboard Scientific Party (Leg 127), 1990, Site 796, in Tamaki, K., Pisciotto, K., Allan, J., and others, Proceedings of the Ocean Drilling Program: Initial Reports, 127, College Station, TX, (Ocean Drilling Program), p. 247-322."
